date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,4.54,1.62,14.12,3.66,0.4,-0.4
2020-02-16,7.72,2.36,18.8,2.44,0.56,-0.64
2020-02-17,6.32,0.52,24.54,-2.16,-23.06,5.24
2020-02-18,-0.66,-1.04,5.44,2.92,-0.64,0.84
2020-02-19,1.84,0.42,7.3,3.42,0.42,0.24
2020-02-20,1.2,0.0,0.52,2.24,-0.08,0.82
2020-02-21,2.18,-0.88,8.16,3.96,0.88,0.24
2020-02-22,5.96,3.22,35.38,7.56,2.86,-1.02
2020-02-23,7.62,4.22,34.4,7.38,2.42,-0.76
2020-02-24,1.98,0.92,8.58,2.14,2.28,0.32
2020-02-25,3.58,0.54,8.12,2.8,0.48,0.34
2020-02-26,8.2,3.78,5.84,5.36,1.1,-0.52
2020-02-27,7.02,2.88,9.3,5.22,0.64,-0.18
2020-02-28,8.08,4.34,14.26,7.28,2.22,-1.12
2020-02-29,10.42,6.92,24.98,9.54,3.06,-1.94
2020-03-01,14.08,9.92,31.88,10.02,3.14,-1.46
2020-03-02,7.6,5.92,12.12,2.68,3.14,-0.48
2020-03-03,11.3,10.02,24.82,4.08,1.64,-0.78
2020-03-04,8.9,7.16,21.54,4.94,1.9,-0.68
2020-03-05,8.06,7.26,23.62,4.76,1.92,-0.62
2020-03-06,5.4,3.76,19.52,4.94,2.18,-0.42
2020-03-07,9.22,8.06,42.36,10.0,3.4,-1.54
2020-03-08,11.56,8.88,63.22,10.16,2.08,-1.08
2020-03-09,6.5,6.76,37.7,1.86,0.42,0.18
2020-03-10,6.86,7.92,27.86,1.62,-0.72,0.34
2020-03-11,7.74,11.0,32.7,2.54,-0.82,0.02
2020-03-12,6.92,22.58,25.74,-0.46,-2.5,0.8
2020-03-13,1.18,25.36,12.04,-4.82,-5.58,2.68
2020-03-14,-7.54,16.22,11.88,-5.48,-1.94,3.08
2020-03-15,-7.94,12.6,16.46,-8.1,-6.18,3.08
2020-03-16,-6.06,22.02,8.74,-14.1,-17.94,6.92
2020-03-17,-17.48,14.06,18.72,-16.44,-24.76,10.06
2020-03-18,-23.06,9.14,18.4,-20.3,-29.22,11.88
2020-03-19,-28.74,5.56,6.62,-27.78,-32.12,14.12
2020-03-20,-31.88,5.74,10.88,-29.56,-33.32,15.48
2020-03-21,-39.94,-1.62,15.28,-28.12,-23.2,10.62
2020-03-22,-41.68,-11.38,9.3,-36.04,-29.5,9.56
2020-03-23,-35.88,-8.26,-8.5,-37.16,-38.26,16.02
2020-03-24,-39.18,-11.7,6.44,-35.7,-42.12,17.9
2020-03-25,-39.32,-12.8,9.32,-37.06,-43.7,18.32
2020-03-26,-39.96,-12.98,23.32,-39.04,-44.74,18.84
2020-03-27,-41.92,-14.32,12.82,-42.04,-43.86,20.06
2020-03-28,-48.64,-18.88,-3.3,-43.06,-32.84,13.58
2020-03-29,-46.2,-21.12,8.82,-46.16,-36.14,11.3
2020-03-30,-39.38,-16.32,5.68,-42.64,-45.1,17.82
2020-03-31,-39.48,-14.62,3.04,-40.12,-47.02,19.26
2020-04-01,-36.84,-9.06,9.64,-38.86,-47.42,18.92
2020-04-02,-41.14,-12.1,1.94,-43.42,-48.2,20.44
2020-04-03,-42.18,-10.58,-7.78,-45.04,-47.34,21.54
2020-04-04,-48.74,-13.92,1.04,-44.56,-35.32,14.14
2020-04-05,-46.9,-17.54,15.32,-48.76,-38.0,11.42
2020-04-06,-40.0,-14.08,17.64,-43.86,-47.32,18.5
2020-04-07,-40.22,-12.82,29.68,-41.1,-49.0,19.32
2020-04-08,-40.28,-12.6,19.0,-41.52,-49.34,19.34
2020-04-09,-41.42,-12.16,-1.16,-44.78,-49.9,20.62
2020-04-10,-41.74,-10.34,2.78,-46.94,-53.26,22.52
2020-04-11,-45.04,-6.5,6.56,-45.46,-36.6,13.38
2020-04-12,-64.2,-40.52,-20.22,-54.88,-44.64,12.36
2020-04-13,-43.7,-20.94,-21.98,-47.9,-48.5,19.92
2020-04-14,-39.3,-15.0,1.74,-42.08,-47.44,19.54
2020-04-15,-32.9,-9.78,-0.1,-40.18,-47.2,18.9
2020-04-16,-36.72,-11.86,1.0,-42.74,-47.48,19.92
2020-04-17,-39.54,-14.82,-1.52,-43.52,-46.12,20.76
2020-04-18,-42.78,-13.96,7.18,-40.7,-32.42,12.7
2020-04-19,-40.5,-16.92,24.56,-45.42,-35.26,10.32
2020-04-20,-34.0,-13.86,18.74,-41.24,-45.64,17.6
2020-04-21,-34.7,-12.04,20.24,-39.28,-46.58,18.5
2020-04-22,-34.8,-11.48,14.14,-39.02,-46.74,18.52
2020-04-23,-37.02,-12.48,5.94,-41.4,-46.86,19.62
2020-04-24,-37.82,-13.16,9.5,-41.36,-45.62,19.96
2020-04-25,-39.1,-10.24,36.224489795918366,-36.4,-31.28,11.08
2020-04-26,-37.14,-13.1,27.28,-42.36,-34.6,9.48
2020-04-27,-30.76,-10.78,18.78,-39.04,-44.02,17.06
2020-04-28,-30.26,-8.02,29.06,-35.56,-45.42,11.24
2020-04-29,-29.44,-7.16,20.88,-35.38,-45.54,17.44
2020-04-30,-30.48,-6.98,17.28,-36.58,-45.48,18.14
2020-05-01,-28.94,-3.88,37.54,-33.66,-43.28,17.22
2020-05-02,-31.78,-2.32,73.6734693877551,-27.74,-28.02,8.72
