date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,4.0,2.0,13.0,3.0,0.0,0.0
2020-02-16,7.0,2.0,20.5,3.0,1.0,-1.0
2020-02-17,5.5,1.0,24.0,-0.5,-21.0,5.0
2020-02-18,0.0,-1.0,5.0,3.0,1.0,0.0
2020-02-19,2.0,0.0,7.0,3.0,1.0,0.0
2020-02-20,2.0,0.0,2.0,2.0,1.0,0.0
2020-02-21,2.0,-1.0,7.0,4.0,2.0,0.0
2020-02-22,6.0,3.0,36.5,6.0,3.0,-1.0
2020-02-23,8.0,3.0,41.0,6.0,2.0,-1.0
2020-02-24,2.0,0.0,7.0,2.0,3.0,0.0
2020-02-25,4.0,1.0,6.5,3.0,2.0,0.0
2020-02-26,8.5,3.5,5.0,5.0,2.0,-1.0
2020-02-27,7.5,4.0,6.0,6.0,2.0,-1.0
2020-02-28,8.0,4.0,12.0,7.0,2.0,-1.0
2020-02-29,11.5,7.5,22.5,10.0,3.0,-2.0
2020-03-01,16.0,10.0,23.5,10.5,3.0,-2.0
2020-03-02,8.0,5.0,10.5,3.0,3.0,0.0
2020-03-03,10.0,10.0,20.5,4.0,2.0,-1.0
2020-03-04,8.5,7.0,22.0,5.0,2.0,-1.0
2020-03-05,8.0,7.0,21.5,5.0,2.0,-1.0
2020-03-06,5.5,3.0,14.5,5.5,2.0,0.0
2020-03-07,10.0,8.0,39.0,10.5,3.0,-2.0
2020-03-08,11.0,8.5,55.0,10.0,2.0,-1.0
2020-03-09,7.0,7.0,34.5,2.0,1.0,0.0
2020-03-10,6.0,7.0,25.0,2.5,0.0,0.0
2020-03-11,7.5,10.5,28.0,3.0,0.0,0.0
2020-03-12,7.0,22.5,24.5,0.5,-1.0,1.0
2020-03-13,1.0,24.5,13.5,-4.5,-4.5,3.0
2020-03-14,-7.0,16.0,5.5,-4.5,-2.0,3.0
2020-03-15,-8.0,12.0,16.0,-7.0,-6.0,3.0
2020-03-16,-5.0,21.5,9.5,-13.0,-17.5,7.0
2020-03-17,-18.0,15.0,14.0,-16.5,-23.5,9.5
2020-03-18,-23.0,8.5,16.0,-20.0,-28.0,12.0
2020-03-19,-28.5,6.0,1.0,-27.5,-31.0,14.0
2020-03-20,-32.0,6.5,3.5,-30.0,-32.0,15.0
2020-03-21,-39.0,-1.0,13.0,-28.5,-22.5,10.5
2020-03-22,-40.0,-10.0,5.5,-36.0,-29.0,9.0
2020-03-23,-34.0,-6.0,-6.0,-37.5,-36.0,15.0
2020-03-24,-39.0,-11.5,4.5,-37.0,-41.5,17.5
2020-03-25,-39.0,-11.5,1.5,-38.0,-43.0,18.0
2020-03-26,-40.0,-13.5,22.5,-40.0,-43.5,18.5
2020-03-27,-42.0,-14.0,17.5,-44.5,-43.0,20.0
2020-03-28,-48.0,-17.5,-1.5,-44.0,-32.5,13.5
2020-03-29,-45.0,-22.5,2.5,-49.5,-36.0,11.0
2020-03-30,-40.0,-17.0,1.0,-45.0,-44.5,17.0
2020-03-31,-39.0,-15.0,-2.5,-41.0,-46.0,19.0
2020-04-01,-37.0,-9.5,5.5,-40.5,-47.0,18.0
2020-04-02,-40.5,-12.0,-1.5,-46.0,-47.0,20.0
2020-04-03,-41.0,-12.0,-12.5,-46.5,-47.0,21.0
2020-04-04,-48.0,-14.0,4.5,-48.5,-35.0,14.0
2020-04-05,-46.0,-18.0,18.0,-51.5,-38.0,11.0
2020-04-06,-39.5,-14.5,18.5,-46.0,-47.0,18.0
2020-04-07,-39.0,-11.5,23.5,-43.0,-48.5,18.5
2020-04-08,-39.0,-12.0,19.5,-42.5,-48.5,18.0
2020-04-09,-39.0,-10.5,-3.0,-45.5,-49.5,20.0
2020-04-10,-40.5,-10.0,-5.0,-48.5,-53.5,22.5
2020-04-11,-44.0,-4.0,7.0,-47.0,-36.0,13.5
2020-04-12,-64.0,-41.0,-24.0,-54.0,-44.0,12.0
2020-04-13,-40.5,-18.5,-22.0,-46.0,-47.0,19.0
2020-04-14,-37.0,-14.0,2.0,-42.0,-47.0,19.0
2020-04-15,-32.0,-9.0,1.0,-42.0,-46.5,18.5
2020-04-16,-35.0,-11.5,1.5,-43.0,-47.0,20.0
2020-04-17,-37.5,-15.0,-6.5,-44.0,-46.0,20.0
2020-04-18,-42.0,-12.5,-3.0,-41.5,-31.5,12.5
2020-04-19,-38.5,-16.0,26.0,-46.0,-36.0,10.0
2020-04-20,-31.5,-13.5,16.5,-41.5,-46.0,17.0
2020-04-21,-33.5,-11.5,10.0,-41.0,-46.0,18.0
2020-04-22,-32.5,-11.0,1.5,-41.5,-46.0,18.0
2020-04-23,-35.5,-12.0,1.0,-43.0,-46.0,20.0
2020-04-24,-35.5,-12.5,6.5,-42.5,-45.0,18.0
2020-04-25,-37.0,-9.5,29.0,-37.0,-30.0,11.0
2020-04-26,-35.0,-11.0,7.0,-43.0,-35.0,9.0
2020-04-27,-28.0,-8.5,10.0,-40.0,-44.0,16.0
2020-04-28,-30.0,-7.5,25.0,-38.0,-45.0,11.0
2020-04-29,-27.0,-6.5,17.0,-37.0,-45.0,17.5
2020-04-30,-29.0,-4.5,5.0,-38.5,-45.0,18.0
2020-05-01,-27.5,-3.5,32.0,-36.0,-43.0,16.5
2020-05-02,-30.5,-1.5,80.0,-30.5,-27.0,9.0
