date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline
2020-02-15,2,3,30,22,12
2020-02-16,35,4,17,45,33
2020-02-17,46,5,51,7,12
2020-02-18,26,3,8,3,4
2020-02-19,38,8,44,8,5
2020-02-20,40,7,37,19,6
2020-02-21,30,5,14,7,7
2020-02-22,38,3,51,19,17
2020-02-23,40,2,51,38,44
2020-02-24,49,9,51,28,46
2020-02-25,22,6,42,40,21
2020-02-26,25,5,33,17,17
2020-02-27,26,6,23,14,20
2020-02-28,28,4,14,22,44
2020-02-29,16,2,36,10,12
2020-03-01,19,15,7,24,45
2020-03-02,38,39,49,5,23
2020-03-03,15,11,49,11,21
2020-03-04,30,6,25,4,14
2020-03-05,25,7,48,21,20
2020-03-06,21,5,18,10,35
2020-03-07,8,1,24,4,16
2020-03-08,24,1,33,10,45
2020-03-09,50,6,51,11,29
2020-03-10,29,2,48,6,20
2020-03-11,21,4,45,6,8
2020-03-12,21,30,33,8,26
2020-03-13,15,46,12,5,40
2020-03-14,14,38,51,8,11
2020-03-15,9,9,50,8,28
2020-03-16,12,18,46,5,9
2020-03-17,3,9,11,5,11
2020-03-18,15,10,51,5,16
2020-03-19,10,10,14,4,13
2020-03-20,24,37,45,8,19
2020-03-21,28,28,51,10,21
2020-03-22,18,13,48,10,30
2020-03-23,8,9,17,5,17
2020-03-24,25,22,50,5,19
2020-03-25,17,15,23,5,18
2020-03-26,32,29,51,9,22
2020-03-27,32,26,51,11,24
2020-03-28,35,30,50,13,20
2020-03-29,11,10,6,7,23
2020-03-30,9,13,29,6,18
2020-03-31,18,13,47,8,19
2020-04-01,16,21,29,6,21
2020-04-02,16,24,21,7,17
2020-04-03,9,16,5,6,16
2020-04-04,18,22,41,9,15
2020-04-05,15,11,21,11,28
2020-04-06,28,18,49,10,16
2020-04-07,22,12,41,6,15
2020-04-08,10,8,10,6,14
2020-04-09,9,6,12,6,14
2020-04-10,15,26,23,7,24
2020-04-11,21,25,42,8,13
2020-04-12,30,16,40,10,29
2020-04-13,7,6,8,5,11
2020-04-14,37,32,51,6,15
2020-04-15,18,12,37,6,15
2020-04-16,21,19,37,7,15
2020-04-17,24,27,34,6,15
2020-04-18,7,7,10,4,8
2020-04-19,32,15,36,10,27
2020-04-20,18,11,27,6,13
2020-04-21,11,7,11,5,13
2020-04-22,19,14,24,6,15
2020-04-23,23,16,37,6,14
2020-04-24,11,12,8,5,15
2020-04-25,23,12,49,7,12
2020-04-26,10,7,8,7,14
2020-04-27,8,4,6,3,13
2020-04-28,19,12,31,6,15
2020-04-29,22,12,40,6,14
2020-04-30,12,13,17,7,14
2020-05-01,14,15,25,6,13
2020-05-02,22,17,42,12,14
