sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Bristol County,2020-02-15,0.0,-25.0,Nan,Nan,0.0,Nan
Bristol County,2020-02-16,5.0,-24.0,Nan,Nan,6.0,Nan
Bristol County,2020-02-17,13.0,-18.0,Nan,Nan,-40.0,9.0
Bristol County,2020-02-18,1.0,-20.0,Nan,Nan,-15.0,3.0
Bristol County,2020-02-19,5.0,-25.0,Nan,Nan,-7.0,1.0
Bristol County,2020-02-20,5.0,-21.0,Nan,Nan,-7.0,2.0
Bristol County,2020-02-21,5.0,-14.0,Nan,Nan,-7.0,2.0
Bristol County,2020-02-22,12.0,-18.0,Nan,Nan,3.0,Nan
Bristol County,2020-02-23,23.0,-14.0,Nan,Nan,10.0,Nan
Bristol County,2020-02-24,10.0,-16.0,Nan,Nan,5.0,-1.0
Bristol County,2020-02-25,4.0,-12.0,Nan,Nan,2.0,0.0
Bristol County,2020-02-26,6.0,-17.0,Nan,Nan,3.0,-1.0
Bristol County,2020-02-27,2.0,-12.0,Nan,Nan,3.0,0.0
Bristol County,2020-02-28,1.0,-12.0,Nan,Nan,6.0,-1.0
Bristol County,2020-02-29,9.0,-16.0,Nan,Nan,2.0,Nan
Bristol County,2020-03-01,11.0,-12.0,Nan,Nan,7.0,Nan
Bristol County,2020-03-02,10.0,-13.0,Nan,Nan,2.0,0.0
Bristol County,2020-03-03,10.0,-6.0,Nan,Nan,-1.0,0.0
Bristol County,2020-03-04,8.0,-18.0,Nan,Nan,0.0,0.0
Bristol County,2020-03-05,7.0,-9.0,Nan,Nan,2.0,0.0
Bristol County,2020-03-06,0.0,-18.0,Nan,Nan,3.0,0.0
Bristol County,2020-03-07,3.0,-22.0,Nan,Nan,1.0,Nan
Bristol County,2020-03-08,11.0,-21.0,Nan,Nan,7.0,Nan
Bristol County,2020-03-09,20.0,-14.0,Nan,Nan,-4.0,1.0
Bristol County,2020-03-10,9.0,-10.0,Nan,Nan,-5.0,1.0
Bristol County,2020-03-11,6.0,-15.0,Nan,Nan,-2.0,1.0
Bristol County,2020-03-12,11.0,2.0,Nan,Nan,-3.0,2.0
Bristol County,2020-03-13,4.0,14.0,Nan,Nan,-4.0,5.0
Bristol County,2020-03-14,-1.0,-1.0,Nan,Nan,0.0,Nan
Bristol County,2020-03-15,-8.0,-12.0,Nan,Nan,-7.0,Nan
Bristol County,2020-03-16,-4.0,5.0,Nan,Nan,-27.0,11.0
Bristol County,2020-03-17,-34.0,-4.0,Nan,Nan,-37.0,18.0
Bristol County,2020-03-18,-29.0,-6.0,Nan,Nan,-38.0,16.0
Bristol County,2020-03-19,-39.0,-8.0,Nan,Nan,-42.0,20.0
Bristol County,2020-03-20,-35.0,-5.0,Nan,Nan,-40.0,20.0
Bristol County,2020-03-21,-38.0,-12.0,Nan,Nan,-25.0,Nan
Bristol County,2020-03-22,-41.0,-29.0,Nan,Nan,-27.0,Nan
Bristol County,2020-03-23,-42.0,-23.0,Nan,Nan,-46.0,Nan
Bristol County,2020-03-24,-41.0,-18.0,Nan,Nan,-50.0,22.0
Bristol County,2020-03-25,-48.0,-25.0,Nan,Nan,-51.0,Nan
Bristol County,2020-03-26,-39.0,-16.0,Nan,Nan,-50.0,Nan
Bristol County,2020-03-27,-38.0,-17.0,Nan,Nan,-48.0,Nan
Bristol County,2020-03-28,-46.0,-22.0,Nan,Nan,-36.0,Nan
