date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,4.0,1.0,13.0,3.0,-1.0,0.0
2020-02-16,6.0,1.0,19.5,3.0,0.0,-1.0
2020-02-17,3.0,-1.0,21.0,-1.0,-25.0,5.0
2020-02-18,-2.0,-0.5,3.0,3.0,6.0,0.0
2020-02-19,0.0,0.0,7.0,3.0,5.0,0.0
2020-02-20,0.0,0.0,2.0,2.0,5.0,0.0
2020-02-21,1.0,-1.0,7.0,4.0,7.0,0.0
2020-02-22,4.0,1.0,29.0,6.0,1.0,-1.0
2020-02-23,3.5,1.0,23.0,6.0,1.0,-1.0
2020-02-24,-2.0,-1.0,4.5,2.0,10.0,0.0
2020-02-25,-1.0,-3.0,4.0,3.0,4.0,0.0
2020-02-26,4.0,1.0,5.0,5.0,6.0,-1.0
2020-02-27,5.0,2.0,6.0,5.0,6.0,-1.0
2020-02-28,6.0,3.0,11.0,7.0,7.0,-1.0
2020-02-29,7.0,1.5,22.0,10.0,2.0,-2.0
2020-03-01,10.0,7.0,22.0,9.0,2.0,-2.0
2020-03-02,5.0,5.0,7.5,3.0,-4.0,0.0
2020-03-03,7.0,9.0,18.0,4.0,7.0,-1.0
2020-03-04,6.0,6.0,17.0,5.0,6.0,-1.0
2020-03-05,4.0,4.0,20.5,5.0,5.0,-1.0
2020-03-06,2.0,3.0,13.0,5.0,6.0,-1.0
2020-03-07,5.5,4.0,32.0,10.0,1.0,-1.0
2020-03-08,8.0,5.0,37.5,9.0,0.0,-1.0
2020-03-09,2.0,5.0,24.0,2.0,7.0,0.0
2020-03-10,2.0,6.0,20.0,3.0,5.0,0.0
2020-03-11,3.0,7.5,24.0,3.0,4.0,0.0
2020-03-12,6.0,25.0,18.5,-1.0,4.0,0.0
2020-03-13,0.0,25.0,9.0,-5.0,3.0,2.0
2020-03-14,-7.0,18.0,1.0,-5.0,-2.0,3.0
2020-03-15,-14.0,14.0,3.5,-7.0,-8.0,3.0
2020-03-16,-14.0,14.0,7.0,-15.0,-30.0,7.0
2020-03-17,-28.0,-6.0,7.0,-18.0,-45.0,10.0
2020-03-18,-34.0,-6.0,6.5,-23.0,-47.0,12.0
2020-03-19,-41.0,-11.5,-9.0,-29.0,-49.0,14.0
2020-03-20,-50.0,-4.0,-8.5,-32.0,-46.0,16.0
2020-03-21,-58.5,-11.0,-14.0,-31.0,-37.0,11.0
2020-03-22,-57.0,-21.0,-22.0,-39.0,-36.0,9.0
2020-03-23,-48.5,-29.0,-22.0,-39.0,-51.5,15.5
2020-03-24,-49.0,-29.0,-3.0,-39.0,-53.0,18.0
2020-03-25,-52.0,-28.5,-11.0,-40.0,-52.0,19.0
2020-03-26,-52.5,-25.0,5.0,-42.0,-53.0,19.0
2020-03-27,-57.5,-22.0,-5.5,-47.0,-52.0,20.0
2020-03-28,-63.0,-29.5,-39.0,-46.0,-43.0,14.0
2020-03-29,-62.0,-35.5,-36.0,-51.0,-43.0,11.0
2020-03-30,-49.0,-25.5,-13.0,-47.0,-50.0,18.0
2020-03-31,-48.0,-37.0,-17.0,-44.0,-55.0,19.5
2020-04-01,-49.0,-35.0,-6.0,-43.0,-56.0,19.0
2020-04-02,-54.0,-30.0,-18.5,-46.0,-56.0,21.0
2020-04-03,-59.0,-26.0,-30.5,-48.0,-55.0,22.0
2020-04-04,-63.0,-29.0,-32.0,-49.0,-46.0,14.0
2020-04-05,-55.0,-21.0,5.0,-52.0,-58.5,11.0
2020-04-06,-51.0,-23.0,3.0,-47.0,-53.5,19.0
2020-04-07,-50.0,-26.0,4.5,-44.0,-56.0,19.5
2020-04-08,-51.0,-23.0,-3.5,-44.0,-56.0,20.0
2020-04-09,-53.5,-18.0,-19.0,-48.0,-61.0,21.0
2020-04-10,-57.0,-14.5,-13.0,-52.5,-78.0,23.0
2020-04-11,-65.5,-16.0,-24.0,-49.0,-57.0,14.0
2020-04-12,-75.0,-44.0,-48.0,-55.0,-55.0,12.0
2020-04-13,-48.0,-18.0,-30.0,-51.0,-50.0,20.0
2020-04-14,-47.5,-20.0,-11.0,-44.0,-52.0,20.0
2020-04-15,-45.0,-21.5,-6.0,-45.0,-52.0,19.5
2020-04-16,-51.5,-23.0,-8.0,-47.0,-51.5,20.0
2020-04-17,-53.5,-22.0,-17.0,-45.0,-52.0,21.0
2020-04-18,-57.5,-28.0,-35.0,-45.0,-40.0,13.0
2020-04-19,-57.5,-21.0,-26.0,-47.5,-47.0,10.0
2020-04-20,-44.5,-21.0,2.0,-45.0,-48.0,18.0
2020-04-21,-50.0,-30.0,-5.0,-46.0,-51.0,19.0
2020-04-22,-48.0,-23.0,-10.0,-44.0,-49.0,19.0
2020-04-23,-49.0,-24.0,-17.0,-44.0,-50.0,20.0
2020-04-24,-51.0,-25.0,-10.0,-44.0,-49.0,19.5
2020-04-25,-53.0,-27.0,-9.5,-40.0,-38.0,11.0
2020-04-26,-61.0,-17.0,-33.5,-44.0,-43.0,9.0
2020-04-27,-44.0,-21.0,-0.5,-42.0,-45.0,17.5
2020-04-28,-47.0,-25.5,17.0,-39.0,-48.0,11.5
2020-04-29,-41.0,-22.0,-3.0,-38.0,-47.0,18.0
2020-04-30,-44.0,-24.0,-17.0,-42.0,-47.0,18.5
2020-05-01,-45.0,-16.5,5.0,-38.0,-45.0,18.0
2020-05-02,-49.0,-17.0,-1.0,-32.0,-34.0,9.0
2020-05-03,-51.0,-13.0,9.0,-39.0,-36.0,7.0
2020-05-04,-31.0,-12.0,19.0,-37.0,-40.0,15.5
2020-05-05,-33.0,-15.0,10.0,-35.0,-43.0,17.0
2020-05-06,-34.0,-15.5,11.0,-35.0,-41.0,16.0
2020-05-07,-33.5,-12.0,33.0,-36.0,-43.0,17.0
2020-05-08,-36.5,-9.0,-3.0,-38.0,-40.0,17.5
2020-05-09,-39.0,0.5,-8.0,-30.0,-30.0,9.0
2020-05-10,-48.5,-22.0,22.5,-36.0,-31.0,5.0
2020-05-11,-33.0,-20.0,2.0,-35.0,-37.0,15.0
2020-05-12,-31.0,-15.5,23.0,-33.0,-39.0,15.5
2020-05-13,-31.0,-15.0,30.0,-32.0,-39.0,15.5
2020-05-14,-33.0,-14.0,35.0,-34.0,-39.0,16.0
2020-05-15,-33.0,-12.0,40.0,-37.0,-38.0,16.0
2020-05-16,-39.0,-11.0,30.0,-31.0,-29.0,8.0
2020-05-17,-47.0,-44.5,11.0,-34.0,-30.5,6.0
2020-05-18,-25.0,-10.0,16.0,-34.0,-32.0,14.0
2020-05-19,-27.0,-10.0,30.5,-32.0,-37.0,14.0
2020-05-20,-26.0,-8.0,34.0,-26.0,-37.0,14.0
2020-05-21,-26.0,-9.0,40.5,-29.0,-38.0,14.0
2020-05-22,-30.0,-8.5,41.0,-28.0,-36.0,13.0
2020-05-23,-35.0,-8.0,60.0,-25.0,-24.0,6.0
2020-05-24,-40.5,-22.0,63.5,-31.0,-28.0,4.0
2020-05-25,-26.0,-13.5,81.5,-39.0,-52.0,20.0
