date,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
2020-02-15,11001.0,4.0,1.0,13.0,3.0,-1.0,0.0
2020-02-16,11001.0,6.0,1.0,19.5,3.0,0.0,-1.0
2020-02-17,11001.0,3.0,-1.0,21.0,-1.0,-25.0,5.0
2020-02-18,11001.0,-2.0,-0.5,3.0,3.0,6.0,0.0
2020-02-19,11001.0,0.0,0.0,7.0,3.0,5.0,0.0
2020-02-20,11001.0,0.0,0.0,2.0,2.0,5.0,0.0
2020-02-21,11001.0,1.0,-1.0,7.0,4.0,7.0,0.0
2020-02-22,11001.0,4.0,1.0,29.0,6.0,1.0,-1.0
2020-02-23,11001.0,3.5,1.0,23.0,6.0,1.0,-1.0
2020-02-24,11001.0,-2.0,-1.0,4.5,2.0,10.0,0.0
2020-02-25,11001.0,-1.0,-3.0,4.0,3.0,4.0,0.0
2020-02-26,11001.0,4.0,1.0,5.0,5.0,6.0,-1.0
2020-02-27,11001.0,5.0,2.0,6.0,5.0,6.0,-1.0
2020-02-28,11001.0,6.0,3.0,11.0,7.0,7.0,-1.0
2020-02-29,11001.0,7.0,1.5,22.0,10.0,2.0,-2.0
2020-03-01,11001.0,10.0,7.0,22.0,9.0,2.0,-2.0
2020-03-02,11001.0,5.0,5.0,7.5,3.0,-4.0,0.0
2020-03-03,11001.0,7.0,9.0,18.0,4.0,7.0,-1.0
2020-03-04,11001.0,6.0,6.0,17.0,5.0,6.0,-1.0
2020-03-05,11001.0,4.0,4.0,20.5,5.0,5.0,-1.0
2020-03-06,11001.0,2.0,3.0,13.0,5.0,6.0,-1.0
2020-03-07,11001.0,5.5,4.0,32.0,10.0,1.0,-1.0
2020-03-08,11001.0,8.0,5.0,37.5,9.0,0.0,-1.0
2020-03-09,11001.0,2.0,5.0,24.0,2.0,7.0,0.0
2020-03-10,11001.0,2.0,6.0,20.0,3.0,5.0,0.0
2020-03-11,11001.0,3.0,7.5,24.0,3.0,4.0,0.0
2020-03-12,11001.0,6.0,25.0,18.5,-1.0,4.0,0.0
2020-03-13,11001.0,0.0,25.0,9.0,-5.0,3.0,2.0
2020-03-14,11001.0,-7.0,18.0,1.0,-5.0,-2.0,3.0
2020-03-15,11001.0,-14.0,14.0,3.5,-7.0,-8.0,3.0
2020-03-16,11001.0,-14.0,14.0,7.0,-15.0,-30.0,7.0
2020-03-17,11001.0,-28.0,-6.0,7.0,-18.0,-45.0,10.0
2020-03-18,11001.0,-34.0,-6.0,6.5,-23.0,-47.0,12.0
2020-03-19,11001.0,-41.0,-11.5,-9.0,-29.0,-49.0,14.0
